id,name,type,length
614,,QUAD,0.606300
615,,DRIFT,0.458350
616,,QUAD,0.307000
617,,DRIFT,0.196500
618,,DRIFT,0.005000
619,,SEXT,0.290000
620,,DRIFT,0.005000
621,,DRIFT,0.185000
622,,BPM,0.000000
623,,DRIFT,0.484000
624,,BEND,0.933000
625,,DRIFT,0.585800
626,,QUAD,0.406400
627,,DRIFT,0.158300
628,,BPM,0.000000
629,,DRIFT,0.263500
630,,DRIFT,0.005000
631,,SEXT,0.190000
632,,DRIFT,0.005000
633,,DRIFT,0.195200
634,,QUAD,0.407600
635,,DRIFT,0.118700
636,,BPM,0.000000
637,,DRIFT,0.116000
638,,DRIFT,0.005000
639,,SEXT,0.290000
640,,DRIFT,0.005000
641,,DRIFT,0.234700
642,,QUAD,0.407600
643,,DRIFT,0.195200
644,,DRIFT,0.005000
645,,SEXT,0.190000
646,,DRIFT,0.005000
647,,DRIFT,0.421800
648,,QUAD,0.406400
649,,DRIFT,0.101800
650,,BPM,0.000000
651,,DRIFT,0.484000
652,,source,0.000000
653,,BEND,0.933000
654,,DRIFT,0.669000
655,,DRIFT,0.005000
656,,SEXT,0.290000
657,,DRIFT,0.005000
658,,DRIFT,0.196500
659,,QUAD,0.307000
660,,DRIFT,0.173000
661,,BPM,0.000000
662,,DRIFT,0.285350
663,,QUAD,0.606300
664,,DRIFT,0.231850
665,,DRIFT,0.005000
666,,SEXT,0.290000
667,,DRIFT,0.005000
668,,DRIFT,0.146800
669,,QUAD,0.406400
670,,DRIFT,1.288300
671,,BPM,0.000000
672,,DRIFT,0.002500
673,,DRIFT,0.150000
674,,HTRIM,0.000000
675,,VTRIM,0.000000
676,,DRIFT,0.150000
677,,DRIFT,2.577500
678,,source,0.000000
679,,DRIFT,2.577500
680,,DRIFT,0.150000
681,,HTRIM,0.000000
682,,VTRIM,0.000000
683,,DRIFT,0.150000
684,,DRIFT,0.002500
685,,BPM,0.000000
686,,DRIFT,1.288300
687,,QUAD,0.406400
688,,DRIFT,0.146800
689,,DRIFT,0.005000
690,,SEXT,0.290000
691,,DRIFT,0.005000
692,,DRIFT,0.231850
693,,QUAD,0.606300
694,,DRIFT,0.458350
695,,QUAD,0.307000
696,,DRIFT,0.196500
697,,DRIFT,0.005000
698,,SEXT,0.290000
699,,DRIFT,0.005000
700,,DRIFT,0.185000
701,,BPM,0.000000
702,,DRIFT,0.484000
703,,BEND,0.933000
704,,DRIFT,0.585800
705,,QUAD,0.406400
706,,DRIFT,0.158300
707,,BPM,0.000000
708,,DRIFT,0.263500
709,,DRIFT,0.005000
710,,SEXT,0.190000
711,,DRIFT,0.005000
712,,DRIFT,0.195200
713,,QUAD,0.407600
714,,DRIFT,0.118700
715,,BPM,0.000000
716,,DRIFT,0.116000
717,,DRIFT,0.005000
718,,SEXT,0.290000
719,,DRIFT,0.005000
720,,DRIFT,0.234700
721,,QUAD,0.407600
722,,DRIFT,0.195200
723,,DRIFT,0.005000
724,,SEXT,0.190000
725,,DRIFT,0.005000
726,,DRIFT,0.421800
727,,QUAD,0.406400
728,,DRIFT,0.101800
729,,BPM,0.000000
730,,DRIFT,0.484000
731,,BEND,0.933000
732,,DRIFT,0.669000
733,,DRIFT,0.005000
734,,SEXT,0.290000
735,,DRIFT,0.005000
736,,DRIFT,0.196500
737,,QUAD,0.307000
738,,DRIFT,0.173000
739,,BPM,0.000000
740,,DRIFT,0.285350
741,,QUAD,0.606300
742,,DRIFT,0.231850
743,,DRIFT,0.005000
744,,SEXT,0.290000
745,,DRIFT,0.005000
746,,DRIFT,0.146800
747,,QUAD,0.406400
748,,DRIFT,0.288340
749,,QUAD,0.300000
750,,DRIFT,0.152700
751,,DRIFT,0.050000
752,,HCHICA,0.000000
753,,DRIFT,0.050000
754,,DRIFT,0.310760
755,,BPM,0.000000
756,,DRIFT,0.150000
757,,HTRIM,0.000000
758,,VTRIM,0.000000
759,,DRIFT,0.150000
760,,DRIFT,1.202995
761,,source,0.000000
762,,DRIFT,1.202995
763,,DRIFT,0.150000
764,,HTRIM,0.000000
765,,VTRIM,0.000000
766,,DRIFT,0.150000
767,,BPM,0.000000
768,,DRIFT,0.260100
769,,HSTR,0.000000
770,,VSTR,0.000000
771,,DRIFT,0.564080
772,,DRIFT,0.050000
773,,HCHICA,0.000000
774,,DRIFT,0.050000
775,,DRIFT,0.386070
776,,QUAD,0.600000
777,,DRIFT,0.200000
778,,QUAD,0.400000
779,,DRIFT,0.092530
780,,BPM,0.000000
781,,DRIFT,0.080890
782,,HSTR,0.000000
783,,VSTR,0.000000
784,,DRIFT,0.150000
785,,HTRIM,0.000000
786,,VTRIM,0.000000
787,,DRIFT,0.150000
788,,DRIFT,1.426070
789,,source,0.000000
790,,DRIFT,1.426070
791,,DRIFT,0.150000
792,,HTRIM,0.000000
793,,VTRIM,0.000000
794,,DRIFT,0.150000
795,,BPM,0.000000
796,,DRIFT,0.308440
797,,DRIFT,0.050000
798,,HCHICA,0.000000
799,,DRIFT,0.050000
800,,DRIFT,0.137760
801,,QUAD,0.300000
802,,DRIFT,0.196800
803,,QUAD,0.406400
804,,DRIFT,0.146800
805,,DRIFT,0.005000
806,,SEXT,0.290000
807,,DRIFT,0.005000
808,,DRIFT,0.231850
809,,QUAD,0.606300
810,,DRIFT,0.458350
811,,QUAD,0.307000
812,,DRIFT,0.196500
813,,DRIFT,0.005000
814,,SEXT,0.290000
815,,DRIFT,0.005000
816,,DRIFT,0.185000
817,,BPM,0.000000
818,,DRIFT,0.484000
819,,BEND,0.933000
820,,DRIFT,0.585800
821,,QUAD,0.406400
822,,DRIFT,0.158300
823,,BPM,0.000000
824,,DRIFT,0.263500
825,,DRIFT,0.005000
826,,SEXT,0.190000
827,,DRIFT,0.005000
828,,DRIFT,0.195200
829,,QUAD,0.407600
830,,DRIFT,0.118700
831,,BPM,0.000000
832,,DRIFT,0.116000
833,,DRIFT,0.005000
834,,SEXT,0.290000
835,,DRIFT,0.005000
