el_id,field,uc_type,uc_id
111,b0,pchip,114
189,b0,pchip,114
136,b0,pchip,115
164,b0,pchip,115
3,x,poly,116
3,y,poly,116
19,x,poly,116
19,y,poly,116
25,x,poly,116
25,y,poly,116
33,x,poly,116
33,y,poly,116
47,x,poly,116
47,y,poly,116
57,x,poly,116
57,y,poly,116
67,x,poly,116
67,y,poly,116
95,x,poly,116
95,y,poly,116
118,x,poly,116
118,y,poly,116
134,x,poly,116
134,y,poly,116
147,x,poly,116
147,y,poly,116
155,x,poly,116
155,y,poly,116
177,x,poly,116
177,y,poly,116
187,x,poly,116
187,y,poly,116
212,x,poly,116
212,y,poly,116
240,x,poly,116
240,y,poly,116
256,x,poly,116
256,y,poly,116
262,x,poly,116
262,y,poly,116
270,x,poly,116
270,y,poly,116
284,x,poly,116
284,y,poly,116
294,x,poly,116
294,y,poly,116
304,x,poly,116
304,y,poly,116
342,x,poly,116
342,y,poly,116
358,x,poly,116
358,y,poly,116
364,x,poly,116
364,y,poly,116
372,x,poly,116
372,y,poly,116
386,x,poly,116
386,y,poly,116
396,x,poly,116
396,y,poly,116
406,x,poly,116
406,y,poly,116
423,x,poly,116
423,y,poly,116
439,x,poly,116
439,y,poly,116
445,x,poly,116
445,y,poly,116
453,x,poly,116
453,y,poly,116
467,x,poly,116
467,y,poly,116
477,x,poly,116
477,y,poly,116
487,x,poly,116
487,y,poly,116
514,x,poly,116
514,y,poly,116
530,x,poly,116
530,y,poly,116
536,x,poly,116
536,y,poly,116
544,x,poly,116
544,y,poly,116
558,x,poly,116
558,y,poly,116
568,x,poly,116
568,y,poly,116
578,x,poly,116
578,y,poly,116
606,x,poly,116
606,y,poly,116
622,x,poly,116
622,y,poly,116
628,x,poly,116
628,y,poly,116
636,x,poly,116
636,y,poly,116
650,x,poly,116
650,y,poly,116
661,x,poly,116
661,y,poly,116
671,x,poly,116
671,y,poly,116
685,x,poly,116
685,y,poly,116
701,x,poly,116
701,y,poly,116
707,x,poly,116
707,y,poly,116
715,x,poly,116
715,y,poly,116
