el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
285,x_kick,poly,352,,A,-5,5
295,x_kick,poly,353,,A,-5,5
305,x_kick,poly,354,,A,-5,5
353,x_kick,poly,355,,A,-5,5
361,x_kick,poly,356,,A,-5,5
373,x_kick,poly,357,,A,-5,5
381,x_kick,poly,358,,A,-5,5
387,x_kick,poly,359,,A,-5,5
397,x_kick,poly,360,,A,-5,5
407,x_kick,poly,361,,A,-5,5
434,x_kick,poly,362,,A,-5,5
442,x_kick,poly,363,,A,-5,5
454,x_kick,poly,364,,A,-5,5
462,x_kick,poly,365,,A,-5,5
468,x_kick,poly,366,,A,-5,5
478,x_kick,poly,367,,A,-5,5
488,x_kick,poly,368,,A,-5,5
525,x_kick,poly,369,,A,-5,5
533,x_kick,poly,370,,A,-5,5
545,x_kick,poly,371,,A,-5,5
553,x_kick,poly,372,,A,-5,5
559,x_kick,poly,373,,A,-5,5
569,x_kick,poly,374,,A,-5,5
579,x_kick,poly,375,,A,-5,5
617,x_kick,poly,376,,A,-5,5
625,x_kick,poly,377,,A,-5,5
637,x_kick,poly,378,,A,-5,5
645,x_kick,poly,379,,A,-5,5
651,x_kick,poly,380,,A,-5,5
662,x_kick,poly,381,,A,-5,5
672,x_kick,poly,382,,A,-5,5
696,x_kick,poly,383,,A,-5,5
704,x_kick,poly,384,,A,-5,5
716,x_kick,poly,385,,A,-5,5
724,x_kick,poly,386,,A,-5,5
730,x_kick,poly,387,,A,-5,5
740,x_kick,poly,388,,A,-5,5
750,x_kick,poly,389,,A,-5,5
775,x_kick,poly,390,,A,-5,5
788,x_kick,poly,391,,A,-20,20
812,x_kick,poly,392,,A,-5,5
820,x_kick,poly,393,,A,-5,5
832,x_kick,poly,394,,A,-5,5
840,x_kick,poly,395,,A,-5,5
846,x_kick,poly,396,,A,-5,5
856,x_kick,poly,397,,A,-5,5
866,x_kick,poly,398,,A,-5,5
926,x_kick,poly,399,,A,-5,5
934,x_kick,poly,400,,A,-5,5
946,x_kick,poly,401,,A,-5,5
954,x_kick,poly,402,,A,-5,5
960,x_kick,poly,403,,A,-5,5
970,x_kick,poly,404,,A,-5,5
980,x_kick,poly,405,,A,-5,5
1018,x_kick,poly,406,,A,-5,5
1026,x_kick,poly,407,,A,-5,5
1038,x_kick,poly,408,,A,-5,5
