el_id,family
1186,HFCM
1187,VFCM
1188,dsm_16
1189,S4A
1189,SQUAD
1189,HSTR
1189,VSTR
1190,dsm_17
1191,Q4N
1192,dsm_18
1193,DL2_1
1194,DL2_2
1195,DL2_3
1196,DL2_4
1197,DL2_5
1198,dsm_19
1199,S5X
1199,SQUAD
1199,HSTR
1199,VSTR
1200,dsm_20
1201,HFCM
1202,VFCM
1203,dsm_21
1204,BPM
1205,dsm_22
1206,Q5N
1207,dsm_23
1208,DQ1
1209,dsm_24
1210,Q6N
1211,dsm_25
1212,S6X
1212,SQUAD
1212,HSTR
1212,VSTR
1213,GE
1214,dsm_26
1215,BPM
1216,SE
1217,dsm_27
1218,source
1219,MS
1220,dml_01
1221,SE
1222,BPM
1223,dml_02
1224,HFCM
1225,VFCM
1226,dml_03
1227,GS
1228,S6X
1228,SQUAD
1228,HSTR
1228,VSTR
1229,dml_04
1230,Q6N
1231,dml_05
1232,DQ1
1233,dml_06
1234,Q5N
1235,dml_07
1236,BPM
1237,dml_08
1238,S5X
1238,SQUAD
1238,HSTR
1238,VSTR
1239,dml_09
1240,DL3_5
1241,DL3_4
1242,DL3_3
1243,DL3_2
1244,DL3_1
1245,dml_10
1246,Q4N
1247,dml_11
1248,S4A
1248,SQUAD
1248,HSTR
1248,VSTR
1249,dml_12
1250,BPM
1251,dml_13
1252,HFCM
1253,VFCM
1254,dml_14
1255,O1X
1256,dml_15
1257,A2L
1258,dml_16
1259,S3A
1259,SQUAD
1260,dml_17
1261,A1L
1262,dml_18
1263,HFCM
1264,VFCM
1265,dml_19
1266,BPM
1267,dml_20
1268,S2A
1268,SQUAD
1268,HSTR
1268,VSTR
1269,dml_21
1270,Q3L
1271,dml_22
1272,DL4_1
1273,DL4_2
1274,DL4_3
1275,DL4_4
1276,DL4_5
1277,dml_23
1278,Q2L
1279,dml_24
1280,BPM
1281,dml_25
1282,S1X
1282,SQUAD
1282,HSTR
1282,VSTR
1283,dml_26
1284,Q1L
1285,dml_27
1286,O0X
1286,HSTR
1286,VSTR
1287,dml_28
1288,Q0L
1289,GE
1290,AP
1291,I09_1drift
1292,DRIFT
1293,HCHICA
1294,DRIFT
1295,I09_2drift
1296,BPM
1297,I09_3drift
1298,I09_1_InVac
1299,AP
1300,AP_I09_1
1301,HTRIM
1302,VTRIM
1303,I09
1304,HTRIM
1305,VTRIM
1306,AP_I09_1
1307,AP
1308,I09_1_InVac
1309,I09_4drift
1310,BPMmb
1311,I09_5drift
1312,DRIFT
1313,HCHICA
1314,DRIFT
1315,I09_6drift
1316,cmmbdrift
1317,HSTRmb
1318,VSTRmb
1319,cmmbdrift
1320,I09_7drift
1321,cmmbdrift
1322,HSTRmb
1323,VSTRmb
1324,cmmbdrift
1325,I09_8drift
1326,BPMmb
1327,I09_9drift
1328,LS
1329,I09_10drift
1330,I09_PUMPS
1331,I09_2_OutVac
1332,AP
1333,AP_I09_2
1334,HTRIM
1335,VTRIM
1336,J09
1337,HTRIM
1338,VTRIM
1339,AP_I09_2
1340,AP
1341,I09_2_OutVac
1342,I09_PUMPS
1343,I09_11drift
1344,BPM
1345,I09_12drift
1346,DRIFT
1347,HCHICA
1348,DRIFT
1349,I09_13drift
1350,AP
1351,GS
1352,Q0L
1353,dlm_28
1354,O0X
1354,HSTR
1354,VSTR
1355,dlm_27
1356,Q1L
1357,dlm_26
1358,S1X
1358,SQUAD
1358,HSTR
1358,VSTR
1359,dlm_25
1360,BPM
1361,dlm_24
1362,HFCM
1363,VFCM
1364,dlm_23
1365,Q2L
1366,dlm_22
1367,DL1_5
1368,DL1_4
1369,DL1_3
1370,DL1_2
1371,DL1_1
1372,dlm_21
1373,Q3L
1374,dlm_20
1375,S2A
1375,SQUAD
1375,HSTR
1375,VSTR
1376,dlm_19
1377,BPM
1378,dlm_18
1379,A1L
1380,dlm_17
1381,S3A
1381,SQUAD
1381,HSTR
1381,VSTR
1382,dlm_16
1383,A2L
1384,dlm_15
1385,O1X
1386,dlm_14
1387,BPM
1388,dlm_13
1389,HFCM
1390,VFCM
1391,dlm_12
1392,HSTR
1393,VSTR
1394,S4A
1394,SQUAD
1395,dlm_11
1396,Q4N
1397,dlm_10
1398,DL2_1
1399,DL2_2
1400,DL2_3
1401,DL2_4
1402,DL2_5
1403,dlm_09
1404,S5X
1404,SQUAD
1404,HSTR
1404,VSTR
1405,dlm_08
1406,HFCM
1407,VFCM
1408,dlm_07
1409,BPM
1410,dlm_06
1411,Q5N
1412,dlm_05
1413,DQ1
1414,dlm_04
1415,Q6N
1416,dlm_03
1417,S6X
1417,SQUAD
