el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1974,y,poly,118,mm,m,,
1982,x,poly,118,mm,m,,
1982,y,poly,118,mm,m,,
1996,x,poly,118,mm,m,,
1996,y,poly,118,mm,m,,
2007,x,poly,118,mm,m,,
2007,y,poly,118,mm,m,,
2017,x,poly,118,mm,m,,
2017,y,poly,118,mm,m,,
2031,x,poly,118,mm,m,,
2031,y,poly,118,mm,m,,
2047,x,poly,118,mm,m,,
2047,y,poly,118,mm,m,,
2053,x,poly,118,mm,m,,
2053,y,poly,118,mm,m,,
2061,x,poly,118,mm,m,,
2061,y,poly,118,mm,m,,
2075,x,poly,118,mm,m,,
2075,y,poly,118,mm,m,,
2086,x,poly,118,mm,m,,
2086,y,poly,118,mm,m,,
2096,x,poly,118,mm,m,,
2096,y,poly,118,mm,m,,
2124,x,poly,118,mm,m,,
2124,y,poly,118,mm,m,,
2140,x,poly,118,mm,m,,
2140,y,poly,118,mm,m,,
2146,x,poly,118,mm,m,,
2146,y,poly,118,mm,m,,
2154,x,poly,118,mm,m,,
2154,y,poly,118,mm,m,,
2168,x,poly,118,mm,m,,
2168,y,poly,118,mm,m,,
2179,x,poly,118,mm,m,,
2179,y,poly,118,mm,m,,
2189,x,poly,118,mm,m,,
2189,y,poly,118,mm,m,,
75,x_kick,poly,119,,A,-5,5
82,x_kick,poly,120,,A,-5,5
150,x_kick,poly,121,,A,-5,5
157,x_kick,poly,122,,A,-5,5
226,x_kick,poly,123,,A,-5,5
233,x_kick,poly,124,,A,-5,5
320,x_kick,poly,125,,A,-5,5
325,x_kick,poly,126,,A,-5,5
332,x_kick,poly,127,,A,-5,5
337,x_kick,poly,128,,A,-5,5
412,x_kick,poly,129,,A,-5,5
419,x_kick,poly,130,,A,-5,5
493,x_kick,poly,131,,A,-5,5
500,x_kick,poly,132,,A,-5,5
504,x_kick,poly,133,,A,-5,5
511,x_kick,poly,134,,A,-5,5
588,x_kick,poly,135,,A,-5,5
595,x_kick,poly,136,,A,-5,5
676,x_kick,poly,137,,A,-5,5
683,x_kick,poly,138,,A,-5,5
759,x_kick,poly,139,,A,-5,5
766,x_kick,poly,140,,A,-5,5
787,x_kick,poly,141,,A,-5,5
794,x_kick,poly,142,,A,-5,5
878,x_kick,poly,143,,A,-5,5
885,x_kick,poly,144,,A,-5,5
898,x_kick,poly,145,,A,-5,5
905,x_kick,poly,146,,A,-5,5
