el_id,name,field,get_pv,set_pv
1128,SR12A-PC-Q1AD-06,b1,SR12A-PC-Q1AD-06:I,SR12A-PC-Q1AD-06:SETI
1131,SR12A-PC-S2A-05,b2,SR12A-PC-S2A-05:I,SR12A-PC-S2A-05:SETI
1131,SR12A-PC-HSTR-05,x_kick,SR12A-PC-HSTR-05:I,SR12A-PC-HSTR-05:SETI
1131,SR12A-PC-HSTR-05,h_fofb_disabled,SR12A-PC-HSTR-05:FAST:DISABLED,
1131,SR12A-PC-HSTR-05,h_sofb_disabled,SR12A-PC-HSTR-05:SLOW:DISABLED,
1131,SR12A-PC-VSTR-05,y_kick,SR12A-PC-VSTR-05:I,SR12A-PC-VSTR-05:SETI
1131,SR12A-PC-VSTR-05,v_fofb_disabled,SR12A-PC-VSTR-05:FAST:DISABLED,
1131,SR12A-PC-VSTR-05,v_sofb_disabled,SR12A-PC-VSTR-05:SLOW:DISABLED,
1134,SR12A-PC-Q2AD-07,b1,SR12A-PC-Q2AD-07:I,SR12A-PC-Q2AD-07:SETI
1136,SR12C-DI-EBPM-05,x,SR12C-DI-EBPM-05:SA:X,
1136,SR12C-DI-EBPM-05,y,SR12C-DI-EBPM-05:SA:Y,
1136,SR12C-DI-EBPM-05,enabled,SR12C-DI-EBPM-05:CF:ENABLED_S,
1136,SR12C-DI-EBPM-05,x_fofb_disabled,SR12C-PC-HBPM-05:FAST:DISABLED,
1136,SR12C-DI-EBPM-05,x_sofb_disabled,SR12C-PC-HBPM-05:SLOW:DISABLED,
1136,SR12C-DI-EBPM-05,y_fofb_disabled,SR12C-PC-VBPM-05:FAST:DISABLED,
1136,SR12C-DI-EBPM-05,y_sofb_disabled,SR12C-PC-VBPM-05:SLOW:DISABLED,
1138,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1141,SR12A-PC-S2D-06,b2,SR12A-PC-S2D-06:I,SR12A-PC-S2D-06:SETI
1141,SR12A-PC-HSTR-06,x_kick,SR12A-PC-HSTR-06:I,SR12A-PC-HSTR-06:SETI
1141,SR12A-PC-HSTR-06,h_fofb_disabled,SR12A-PC-HSTR-06:FAST:DISABLED,
1141,SR12A-PC-HSTR-06,h_sofb_disabled,SR12A-PC-HSTR-06:SLOW:DISABLED,
1141,SR12A-PC-VSTR-06,y_kick,SR12A-PC-VSTR-06:I,SR12A-PC-VSTR-06:SETI
1141,SR12A-PC-VSTR-06,v_fofb_disabled,SR12A-PC-VSTR-06:FAST:DISABLED,
1141,SR12A-PC-VSTR-06,v_sofb_disabled,SR12A-PC-VSTR-06:SLOW:DISABLED,
1144,SR12A-PC-Q3D-08,b1,SR12A-PC-Q3D-08:I,SR12A-PC-Q3D-08:SETI
1146,SR12C-DI-EBPM-06,x,SR12C-DI-EBPM-06:SA:X,
1146,SR12C-DI-EBPM-06,y,SR12C-DI-EBPM-06:SA:Y,
1146,SR12C-DI-EBPM-06,enabled,SR12C-DI-EBPM-06:CF:ENABLED_S,
1146,SR12C-DI-EBPM-06,x_fofb_disabled,SR12C-PC-HBPM-06:FAST:DISABLED,
1146,SR12C-DI-EBPM-06,x_sofb_disabled,SR12C-PC-HBPM-06:SLOW:DISABLED,
1146,SR12C-DI-EBPM-06,y_fofb_disabled,SR12C-PC-VBPM-06:FAST:DISABLED,
1146,SR12C-DI-EBPM-06,y_sofb_disabled,SR12C-PC-VBPM-06:SLOW:DISABLED,
1148,SR12A-PC-Q2D-09,b1,SR12A-PC-Q2D-09:I,SR12A-PC-Q2D-09:SETI
1151,SR12A-PC-S1D-07,b2,SR12A-PC-S1D-07:I,SR12A-PC-S1D-07:SETI
1151,SR12A-PC-HSTR-07,x_kick,SR12A-PC-HSTR-07:I,SR12A-PC-HSTR-07:SETI
1151,SR12A-PC-HSTR-07,h_fofb_disabled,SR12A-PC-HSTR-07:FAST:DISABLED,
1151,SR12A-PC-HSTR-07,h_sofb_disabled,SR12A-PC-HSTR-07:SLOW:DISABLED,
1151,SR12A-PC-VSTR-07,y_kick,SR12A-PC-VSTR-07:I,SR12A-PC-VSTR-07:SETI
1151,SR12A-PC-VSTR-07,v_fofb_disabled,SR12A-PC-VSTR-07:FAST:DISABLED,
1151,SR12A-PC-VSTR-07,v_sofb_disabled,SR12A-PC-VSTR-07:SLOW:DISABLED,
1154,SR12A-PC-Q1D-10,b1,SR12A-PC-Q1D-10:I,SR12A-PC-Q1D-10:SETI
1156,SR12A-PC-QUADF-01,b1,SR12A-PC-QUADF-01:I,SR12A-PC-QUADF-01:SETI
1162,SR12C-DI-EBPM-07,x,SR12C-DI-EBPM-07:SA:X,
1162,SR12C-DI-EBPM-07,y,SR12C-DI-EBPM-07:SA:Y,
