id,field,get_pv,set_pv,enable_pv,enable_value
1188,a0,SR13A-PC-VSTR-02:I,SR13A-PC-VSTR-02:SETI,,
1191,x,SR13C-DI-EBPM-02:SA:X,,SR13C-DI-EBPM-02:CF:ENABLED_S,1
1191,y,SR13C-DI-EBPM-02:SA:Y,,SR13C-DI-EBPM-02:CF:ENABLED_S,1
1193,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1195,b1,SR13A-PC-Q2AD-04:I,SR13A-PC-Q2AD-04:SETI,,
1197,x,SR13C-DI-EBPM-03:SA:X,,SR13C-DI-EBPM-03:CF:ENABLED_S,1
1197,y,SR13C-DI-EBPM-03:SA:Y,,SR13C-DI-EBPM-03:CF:ENABLED_S,1
1200,b2,SR13A-PC-S2A-03:I,SR13A-PC-S2A-03:SETI,,
1200,b0,SR13A-PC-HSTR-03:I,SR13A-PC-HSTR-03:SETI,,
1200,a0,SR13A-PC-VSTR-03:I,SR13A-PC-VSTR-03:SETI,,
1203,b1,SR13A-PC-Q1AD-05:I,SR13A-PC-Q1AD-05:SETI,,
1205,x,SR13C-DI-EBPM-04:SA:X,,SR13C-DI-EBPM-04:CF:ENABLED_S,1
1205,y,SR13C-DI-EBPM-04:SA:Y,,SR13C-DI-EBPM-04:CF:ENABLED_S,1
1208,b2,SR13A-PC-S1A-04:I,SR13A-PC-S1A-04:SETI,,
1208,b0,SR13A-PC-HSTR-04:I,SR13A-PC-HSTR-04:SETI,,
1208,a0,SR13A-PC-VSTR-04:I,SR13A-PC-VSTR-04:SETI,,
1211,b1,SR13A-PC-Q1AB-06:I,SR13A-PC-Q1AB-06:SETI,,
1214,b2,SR13A-PC-S2A-05:I,SR13A-PC-S2A-05:SETI,,
1214,b0,SR13A-PC-HSTR-05:I,SR13A-PC-HSTR-05:SETI,,
1214,a0,SR13A-PC-VSTR-05:I,SR13A-PC-VSTR-05:SETI,,
1217,b1,SR13A-PC-Q2AB-07:I,SR13A-PC-Q2AB-07:SETI,,
1219,x,SR13C-DI-EBPM-05:SA:X,,SR13C-DI-EBPM-05:CF:ENABLED_S,1
1219,y,SR13C-DI-EBPM-05:SA:Y,,SR13C-DI-EBPM-05:CF:ENABLED_S,1
1221,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1224,b2,SR13A-PC-S2C-06:I,SR13A-PC-S2C-06:SETI,,
1224,b0,SR13A-PC-HSTR-06:I,SR13A-PC-HSTR-06:SETI,,
1224,a0,SR13A-PC-VSTR-06:I,SR13A-PC-VSTR-06:SETI,,
1227,b1,SR13A-PC-Q3B-08:I,SR13A-PC-Q3B-08:SETI,,
1229,x,SR13C-DI-EBPM-06:SA:X,,SR13C-DI-EBPM-06:CF:ENABLED_S,1
1229,y,SR13C-DI-EBPM-06:SA:Y,,SR13C-DI-EBPM-06:CF:ENABLED_S,1
1231,b1,SR13A-PC-Q2B-09:I,SR13A-PC-Q2B-09:SETI,,
1234,b2,SR13A-PC-S1C-07:I,SR13A-PC-S1C-07:SETI,,
1234,b0,SR13A-PC-HSTR-07:I,SR13A-PC-HSTR-07:SETI,,
1234,a0,SR13A-PC-VSTR-07:I,SR13A-PC-VSTR-07:SETI,,
1237,b1,SR13A-PC-Q1B-10:I,SR13A-PC-Q1B-10:SETI,,
1239,x,SR13C-DI-EBPM-07:SA:X,,SR13C-DI-EBPM-07:CF:ENABLED_S,1
1239,y,SR13C-DI-EBPM-07:SA:Y,,SR13C-DI-EBPM-07:CF:ENABLED_S,1
1253,x,SR14C-DI-EBPM-01:SA:X,,SR14C-DI-EBPM-01:CF:ENABLED_S,1
1253,y,SR14C-DI-EBPM-01:SA:Y,,SR14C-DI-EBPM-01:CF:ENABLED_S,1
1255,b1,SR14A-PC-Q1B-01:I,SR14A-PC-Q1B-01:SETI,,
1258,b2,SR14A-PC-S1B-01:I,SR14A-PC-S1B-01:SETI,,
1258,b0,SR14A-PC-HSTR-01:I,SR14A-PC-HSTR-01:SETI,,
1258,a0,SR14A-PC-VSTR-01:I,SR14A-PC-VSTR-01:SETI,,
1261,b1,SR14A-PC-Q2B-02:I,SR14A-PC-Q2B-02:SETI,,
1263,b1,SR14A-PC-Q3B-03:I,SR14A-PC-Q3B-03:SETI,,
1266,b2,SR14A-PC-S2B-02:I,SR14A-PC-S2B-02:SETI,,
1266,b0,SR14A-PC-HSTR-02:I,SR14A-PC-HSTR-02:SETI,,
1266,a0,SR14A-PC-VSTR-02:I,SR14A-PC-VSTR-02:SETI,,
1269,x,SR14C-DI-EBPM-02:SA:X,,SR14C-DI-EBPM-02:CF:ENABLED_S,1
1269,y,SR14C-DI-EBPM-02:SA:Y,,SR14C-DI-EBPM-02:CF:ENABLED_S,1
