id,name,field,get_pv,set_pv
183,SR02C-DI-EBPM-07,y_sofb_disabled,SR02C-PC-VBPM-07:SLOW:DISABLED,
185,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
190,SR02A-PC-S2BE-09,b2,SR02A-PC-S2BE-09:I,SR02A-PC-S2BE-09:SETI
194,SR02A-PC-Q2BE-09,b1,SR02A-PC-Q2BE-09:I,SR02A-PC-Q2BE-09:SETI
198,SR02A-PC-S1BE-10,b2,SR02A-PC-S1BE-10:I,SR02A-PC-S1BE-10:SETI
198,SR02A-PC-HSTR-10,b0,SR02A-PC-HSTR-10:I,SR02A-PC-HSTR-10:SETI
198,SR02A-PC-HSTR-10,h_fofb_disabled,SR02A-PC-HSTR-10:FAST:DISABLED,
198,SR02A-PC-HSTR-10,h_sofb_disabled,SR02A-PC-HSTR-10:SLOW:DISABLED,
198,SR02A-PC-VSTR-10,a0,SR02A-PC-VSTR-10:I,SR02A-PC-VSTR-10:SETI
198,SR02A-PC-VSTR-10,v_fofb_disabled,SR02A-PC-VSTR-10:FAST:DISABLED,
198,SR02A-PC-VSTR-10,v_sofb_disabled,SR02A-PC-VSTR-10:SLOW:DISABLED,
200,SR02A-PC-Q1BE-10,b1,SR02A-PC-Q1BE-10:I,SR02A-PC-Q1BE-10:SETI
208,SR02C-DI-EBPM-08,x,SR02C-DI-EBPM-08:SA:X,
208,SR02C-DI-EBPM-08,y,SR02C-DI-EBPM-08:SA:Y,
208,SR02C-DI-EBPM-08,enabled,SR02C-DI-EBPM-08:CF:ENABLED_S,
208,SR02C-DI-EBPM-08,x_fofb_disabled,SR02C-PC-HBPM-08:FAST:DISABLED,
208,SR02C-DI-EBPM-08,x_sofb_disabled,SR02C-PC-HBPM-08:SLOW:DISABLED,
208,SR02C-DI-EBPM-08,y_fofb_disabled,SR02C-PC-VBPM-08:FAST:DISABLED,
208,SR02C-DI-EBPM-08,y_sofb_disabled,SR02C-PC-VBPM-08:SLOW:DISABLED,
236,SR03C-DI-EBPM-01,x,SR03C-DI-EBPM-01:SA:X,
236,SR03C-DI-EBPM-01,y,SR03C-DI-EBPM-01:SA:Y,
236,SR03C-DI-EBPM-01,enabled,SR03C-DI-EBPM-01:CF:ENABLED_S,
236,SR03C-DI-EBPM-01,x_fofb_disabled,SR03C-PC-HBPM-01:FAST:DISABLED,
236,SR03C-DI-EBPM-01,x_sofb_disabled,SR03C-PC-HBPM-01:SLOW:DISABLED,
236,SR03C-DI-EBPM-01,y_fofb_disabled,SR03C-PC-VBPM-01:FAST:DISABLED,
236,SR03C-DI-EBPM-01,y_sofb_disabled,SR03C-PC-VBPM-01:SLOW:DISABLED,
238,SR03A-PC-Q1B-01,b1,SR03A-PC-Q1B-01:I,SR03A-PC-Q1B-01:SETI
241,SR03A-PC-S1B-01,b2,SR03A-PC-S1B-01:I,SR03A-PC-S1B-01:SETI
241,SR03A-PC-HSTR-01,b0,SR03A-PC-HSTR-01:I,SR03A-PC-HSTR-01:SETI
241,SR03A-PC-HSTR-01,h_fofb_disabled,SR03A-PC-HSTR-01:FAST:DISABLED,
241,SR03A-PC-HSTR-01,h_sofb_disabled,SR03A-PC-HSTR-01:SLOW:DISABLED,
241,SR03A-PC-VSTR-01,a0,SR03A-PC-VSTR-01:I,SR03A-PC-VSTR-01:SETI
241,SR03A-PC-VSTR-01,v_fofb_disabled,SR03A-PC-VSTR-01:FAST:DISABLED,
241,SR03A-PC-VSTR-01,v_sofb_disabled,SR03A-PC-VSTR-01:SLOW:DISABLED,
244,SR03A-PC-Q2B-02,b1,SR03A-PC-Q2B-02:I,SR03A-PC-Q2B-02:SETI
246,SR03A-PC-Q3B-03,b1,SR03A-PC-Q3B-03:I,SR03A-PC-Q3B-03:SETI
249,SR03A-PC-S2B-02,b2,SR03A-PC-S2B-02:I,SR03A-PC-S2B-02:SETI
249,SR03A-PC-HSTR-02,b0,SR03A-PC-HSTR-02:I,SR03A-PC-HSTR-02:SETI
249,SR03A-PC-HSTR-02,h_fofb_disabled,SR03A-PC-HSTR-02:FAST:DISABLED,
249,SR03A-PC-HSTR-02,h_sofb_disabled,SR03A-PC-HSTR-02:SLOW:DISABLED,
249,SR03A-PC-VSTR-02,a0,SR03A-PC-VSTR-02:I,SR03A-PC-VSTR-02:SETI
249,SR03A-PC-VSTR-02,v_fofb_disabled,SR03A-PC-VSTR-02:FAST:DISABLED,
249,SR03A-PC-VSTR-02,v_sofb_disabled,SR03A-PC-VSTR-02:SLOW:DISABLED,
252,SR03C-DI-EBPM-02,x,SR03C-DI-EBPM-02:SA:X,
252,SR03C-DI-EBPM-02,y,SR03C-DI-EBPM-02:SA:Y,
252,SR03C-DI-EBPM-02,enabled,SR03C-DI-EBPM-02:CF:ENABLED_S,
252,SR03C-DI-EBPM-02,x_fofb_disabled,SR03C-PC-HBPM-02:FAST:DISABLED,
