el_id,field,uc_type,uc_id,phys_units,eng_units
1057,y,poly,116,mm,m
1071,x,poly,116,mm,m
1071,y,poly,116,mm,m
1087,x,poly,116,mm,m
1087,y,poly,116,mm,m
1093,x,poly,116,mm,m
1093,y,poly,116,mm,m
1101,x,poly,116,mm,m
1101,y,poly,116,mm,m
1115,x,poly,116,mm,m
1115,y,poly,116,mm,m
1125,x,poly,116,mm,m
1125,y,poly,116,mm,m
1141,x,poly,116,mm,m
1141,y,poly,116,mm,m
1153,x,poly,116,mm,m
1153,y,poly,116,mm,m
1166,x,poly,116,mm,m
1166,y,poly,116,mm,m
1181,x,poly,116,mm,m
1181,y,poly,116,mm,m
1203,x,poly,116,mm,m
1203,y,poly,116,mm,m
1209,x,poly,116,mm,m
1209,y,poly,116,mm,m
1217,x,poly,116,mm,m
1217,y,poly,116,mm,m
1231,x,poly,116,mm,m
1231,y,poly,116,mm,m
1241,x,poly,116,mm,m
1241,y,poly,116,mm,m
1251,x,poly,116,mm,m
1251,y,poly,116,mm,m
1265,x,poly,116,mm,m
1265,y,poly,116,mm,m
1281,x,poly,116,mm,m
1281,y,poly,116,mm,m
1287,x,poly,116,mm,m
1287,y,poly,116,mm,m
1295,x,poly,116,mm,m
1295,y,poly,116,mm,m
1309,x,poly,116,mm,m
1309,y,poly,116,mm,m
1319,x,poly,116,mm,m
1319,y,poly,116,mm,m
1329,x,poly,116,mm,m
1329,y,poly,116,mm,m
1343,x,poly,116,mm,m
1343,y,poly,116,mm,m
1359,x,poly,116,mm,m
1359,y,poly,116,mm,m
1365,x,poly,116,mm,m
1365,y,poly,116,mm,m
1373,x,poly,116,mm,m
1373,y,poly,116,mm,m
1387,x,poly,116,mm,m
1387,y,poly,116,mm,m
1397,x,poly,116,mm,m
1397,y,poly,116,mm,m
1407,x,poly,116,mm,m
1407,y,poly,116,mm,m
1423,x,poly,116,mm,m
1423,y,poly,116,mm,m
1439,x,poly,116,mm,m
1439,y,poly,116,mm,m
1445,x,poly,116,mm,m
1445,y,poly,116,mm,m
1453,x,poly,116,mm,m
1453,y,poly,116,mm,m
1467,x,poly,116,mm,m
1467,y,poly,116,mm,m
1478,x,poly,116,mm,m
1478,y,poly,116,mm,m
1488,x,poly,116,mm,m
1488,y,poly,116,mm,m
1493,x,poly,116,mm,m
1493,y,poly,116,mm,m
1509,x,poly,116,mm,m
1509,y,poly,116,mm,m
1515,x,poly,116,mm,m
1515,y,poly,116,mm,m
1523,x,poly,116,mm,m
1523,y,poly,116,mm,m
1537,x,poly,116,mm,m
1537,y,poly,116,mm,m
1547,x,poly,116,mm,m
1547,y,poly,116,mm,m
1557,x,poly,116,mm,m
1557,y,poly,116,mm,m
1573,x,poly,116,mm,m
1573,y,poly,116,mm,m
1589,x,poly,116,mm,m
1589,y,poly,116,mm,m
1595,x,poly,116,mm,m
1595,y,poly,116,mm,m
1603,x,poly,116,mm,m
1603,y,poly,116,mm,m
1617,x,poly,116,mm,m
1617,y,poly,116,mm,m
1628,x,poly,116,mm,m
1628,y,poly,116,mm,m
1638,x,poly,116,mm,m
1638,y,poly,116,mm,m
1652,x,poly,116,mm,m
1652,y,poly,116,mm,m
1668,x,poly,116,mm,m
1668,y,poly,116,mm,m
1674,x,poly,116,mm,m
1674,y,poly,116,mm,m
1682,x,poly,116,mm,m
1682,y,poly,116,mm,m
1696,x,poly,116,mm,m
1696,y,poly,116,mm,m
1706,x,poly,116,mm,m
1706,y,poly,116,mm,m
1716,x,poly,116,mm,m
1716,y,poly,116,mm,m
1760,x,poly,116,mm,m
1760,y,poly,116,mm,m
1777,x,poly,116,mm,m
1777,y,poly,116,mm,m
1783,x,poly,116,mm,m
1783,y,poly,116,mm,m
1791,x,poly,116,mm,m
1791,y,poly,116,mm,m
1805,x,poly,116,mm,m
1805,y,poly,116,mm,m
1815,x,poly,116,mm,m
1815,y,poly,116,mm,m
1825,x,poly,116,mm,m
1825,y,poly,116,mm,m
1839,x,poly,116,mm,m
1839,y,poly,116,mm,m
1855,x,poly,116,mm,m
1855,y,poly,116,mm,m
1861,x,poly,116,mm,m
1861,y,poly,116,mm,m
1869,x,poly,116,mm,m
1869,y,poly,116,mm,m
1883,x,poly,116,mm,m
1883,y,poly,116,mm,m
1894,x,poly,116,mm,m
1894,y,poly,116,mm,m
1904,x,poly,116,mm,m
1904,y,poly,116,mm,m
1918,x,poly,116,mm,m
1918,y,poly,116,mm,m
1934,x,poly,116,mm,m
1934,y,poly,116,mm,m
1940,x,poly,116,mm,m
1940,y,poly,116,mm,m
1948,x,poly,116,mm,m
1948,y,poly,116,mm,m
1962,x,poly,116,mm,m
1962,y,poly,116,mm,m
1973,x,poly,116,mm,m
1973,y,poly,116,mm,m
1983,x,poly,116,mm,m
1983,y,poly,116,mm,m
1997,x,poly,116,mm,m
