el_id,field,uc_type,uc_id,phys_units,eng_units
1455,x,poly,118,mm,m
1455,y,poly,118,mm,m
1469,x,poly,118,mm,m
1469,y,poly,118,mm,m
1480,x,poly,118,mm,m
1480,y,poly,118,mm,m
1490,x,poly,118,mm,m
1490,y,poly,118,mm,m
1495,x,poly,118,mm,m
1495,y,poly,118,mm,m
1511,x,poly,118,mm,m
1511,y,poly,118,mm,m
1517,x,poly,118,mm,m
1517,y,poly,118,mm,m
1525,x,poly,118,mm,m
1525,y,poly,118,mm,m
1539,x,poly,118,mm,m
1539,y,poly,118,mm,m
1549,x,poly,118,mm,m
1549,y,poly,118,mm,m
1559,x,poly,118,mm,m
1559,y,poly,118,mm,m
1575,x,poly,118,mm,m
1575,y,poly,118,mm,m
1591,x,poly,118,mm,m
1591,y,poly,118,mm,m
1597,x,poly,118,mm,m
1597,y,poly,118,mm,m
1605,x,poly,118,mm,m
1605,y,poly,118,mm,m
1619,x,poly,118,mm,m
1619,y,poly,118,mm,m
1630,x,poly,118,mm,m
1630,y,poly,118,mm,m
1640,x,poly,118,mm,m
1640,y,poly,118,mm,m
1654,x,poly,118,mm,m
1654,y,poly,118,mm,m
1670,x,poly,118,mm,m
1670,y,poly,118,mm,m
1676,x,poly,118,mm,m
1676,y,poly,118,mm,m
1684,x,poly,118,mm,m
1684,y,poly,118,mm,m
1698,x,poly,118,mm,m
1698,y,poly,118,mm,m
1708,x,poly,118,mm,m
1708,y,poly,118,mm,m
1718,x,poly,118,mm,m
1718,y,poly,118,mm,m
1762,x,poly,118,mm,m
1762,y,poly,118,mm,m
1779,x,poly,118,mm,m
1779,y,poly,118,mm,m
1785,x,poly,118,mm,m
1785,y,poly,118,mm,m
1793,x,poly,118,mm,m
1793,y,poly,118,mm,m
1807,x,poly,118,mm,m
1807,y,poly,118,mm,m
1817,x,poly,118,mm,m
1817,y,poly,118,mm,m
1827,x,poly,118,mm,m
1827,y,poly,118,mm,m
1841,x,poly,118,mm,m
1841,y,poly,118,mm,m
1857,x,poly,118,mm,m
1857,y,poly,118,mm,m
1863,x,poly,118,mm,m
1863,y,poly,118,mm,m
