id,name,field,get_pv,set_pv
1168,SR13S-DI-EBPM-02,y_sofb_disabled,SR13S-PC-VBPM-02:SLOW:DISABLED,
1170,SR13S-PC-HSTR-02,b0,SR13S-PC-HSTR-02:I,SR13S-PC-HSTR-02:SETI
1170,SR13S-PC-HSTR-02,h_fofb_disabled,SR13S-PC-HSTR-02:FAST:DISABLED,
1170,SR13S-PC-HSTR-02,h_sofb_disabled,SR13S-PC-HSTR-02:SLOW:DISABLED,
1171,SR13S-PC-VSTR-02,a0,SR13S-PC-VSTR-02:I,SR13S-PC-VSTR-02:SETI
1171,SR13S-PC-VSTR-02,v_fofb_disabled,SR13S-PC-VSTR-02:FAST:DISABLED,
1171,SR13S-PC-VSTR-02,v_sofb_disabled,SR13S-PC-VSTR-02:SLOW:DISABLED,
1183,SR13C-DI-EBPM-01,x,SR13C-DI-EBPM-01:SA:X,
1183,SR13C-DI-EBPM-01,y,SR13C-DI-EBPM-01:SA:Y,
1183,SR13C-DI-EBPM-01,enabled,SR13C-DI-EBPM-01:CF:ENABLED_S,
1183,SR13C-DI-EBPM-01,x_fofb_disabled,SR13C-PC-HBPM-01:FAST:DISABLED,
1183,SR13C-DI-EBPM-01,x_sofb_disabled,SR13C-PC-HBPM-01:SLOW:DISABLED,
1183,SR13C-DI-EBPM-01,y_fofb_disabled,SR13C-PC-VBPM-01:FAST:DISABLED,
1183,SR13C-DI-EBPM-01,y_sofb_disabled,SR13C-PC-VBPM-01:SLOW:DISABLED,
1189,SR13A-PC-QUADF-04,b1,SR13A-PC-QUADF-04:I,SR13A-PC-QUADF-04:SETI
1191,SR13A-PC-Q1D-01,b1,SR13A-PC-Q1D-01:I,SR13A-PC-Q1D-01:SETI
1194,SR13A-PC-S1D-01,b2,SR13A-PC-S1D-01:I,SR13A-PC-S1D-01:SETI
1194,SR13A-PC-HSTR-01,b0,SR13A-PC-HSTR-01:I,SR13A-PC-HSTR-01:SETI
1194,SR13A-PC-HSTR-01,h_fofb_disabled,SR13A-PC-HSTR-01:FAST:DISABLED,
1194,SR13A-PC-HSTR-01,h_sofb_disabled,SR13A-PC-HSTR-01:SLOW:DISABLED,
1194,SR13A-PC-VSTR-01,a0,SR13A-PC-VSTR-01:I,SR13A-PC-VSTR-01:SETI
1194,SR13A-PC-VSTR-01,v_fofb_disabled,SR13A-PC-VSTR-01:FAST:DISABLED,
